step,price,action,position,balance,portfolio_value
1424,0.1126,4,97674.02982605381,4255.219996277336,15253.315754690995
1425,0.11239,1,101460.14958428616,3829.697996649602,15232.804208427524
1426,0.11219,7,71022.10470900031,7244.54225120792,15212.512178510664
1431,0.10838,7,49715.47329630022,9553.754963716357,14941.917959569375
1443,0.10605,7,34800.83130741015,11135.452746638148,14826.080906788995
1449,0.09808,3,68861.14762053662,7794.8169226467035,14548.718281268935
1450,0.10077,4,99802.16944308978,4676.890153588021,14733.954768368178
1462,0.10131,7,69861.51861016285,7710.177489471849,14787.847939867446
1467,0.10111,5,62875.36674914656,8416.547304139205,14773.875636145414
1468,0.10125,8,37725.220049487936,10962.99965747964,14782.678187490295
1478,0.09522,3,72265.23157273822,7674.099760235748,14555.195110591882
1479,0.09453,3,96619.72144971616,5371.8698321650245,14505.332100806694
1480,0.0973,3,113182.52668763505,3760.3088825155173,14772.968729222408
1492,0.09556,3,124987.59852474948,2632.2162177608625,14576.031132785924
1493,0.09854,4,135672.46240849563,1579.3297306565175,14948.494176389679
1502,0.0988,7,94970.72368594694,5600.661516444328,14983.769016615886
1503,0.09743,7,66479.50658016285,8376.560799060871,14853.659125166138
1508,0.09206,4,102875.59955891962,5025.936479436523,14496.664174830665
1509,0.09402,7,72012.91969124373,7927.6456405954095,14698.300349966146
1510,0.09449,7,50409.04378387061,9968.995875083096,14732.14642222103
1526,0.10251,4,89308.64723751649,5981.397525049857,15136.426953367672
1527,0.10374,4,112371.6799155572,3588.838515029914,15246.276589469817
1528,0.1037,8,67423.00794933431,8250.015797927226,15241.781722273194
1538,0.10229,7,47196.10556453402,10319.025642868448,15146.715281064633
1544,0.10189,7,33037.273895173814,11761.669001659558,15127.836838838819
1549,0.10696,3,66026.24828277541,8233.168301161691,15295.33581748735
1550,0.10712,7,46218.37379794279,10354.987815976961,15305.900017212593
1551,0.10671,7,32352.861658559952,11834.576616370505,15286.950483955437
1556,0.10569,7,22647.003160991968,12860.388800978466,15253.950565063707
1564,0.10163,3,60609.38277619948,9002.272160684926,15162.00373223008
1565,0.0999,7,42426.56794333964,10818.735362487625,15057.149500027255
1574,0.10111,7,29698.597560337752,12105.660447912946,15108.485647238696
1575,0.10158,7,20789.018292236426,13010.695509966677,15122.443988092054
1583,0.105,1,33180.15687315707,11709.62595897001,15193.542430651501
1587,0.10666,7,23226.10981120995,12771.32461859729,15248.621491060943
1592,0.10489,7,16258.276867846966,13502.180616026633,15207.511276695102
1598,0.10805,7,11380.793807492875,14029.192660697892,15258.887431597497
1628,0.11867,1,23202.815093999903,12626.273394628102,15379.751461833072
1634,0.12622,7,16241.970565799933,13504.871190977503,15554.932715792771
1640,0.12943,7,11369.379396059954,14135.53066607695,15607.06944130899
1641,0.12592,8,6821.627637635972,14708.183567497697,15567.16291962882
1658,0.10836,4,61115.40234231556,8824.910140498618,15447.37513831193
1659,0.10848,7,42780.781639620895,10813.849794326936,15454.70898659301
1660,0.10628,8,25668.468983772535,12632.5463833905,15360.591266985844
1665,0.10466,7,17967.928288640775,13438.48497254299,15319.008347232135
1670,0.10639,7,12577.549802048543,14011.967339731538,15350.092863171483
1671,0.10802,7,8804.28486143398,14419.555418616723,15370.594269348821
1676,0.10789,7,6162.999403003786,14704.523706726757,15369.449712316835
1677,0.10875,8,3697.7996418022713,14972.614180757422,15374.74989180342
1688,0.11393,7,2588.45974926159,15099.001274714583,15393.904493947955
1706,0.10791,7,1811.921824483113,15182.797482177428,15378.321966257401
1707,0.10727,8,1087.1530946898677,15260.54342382235,15377.162336289732
1713,0.10774,7,761.0071662829073,15295.682386148916,15377.673298244235
1720,0.11135,7,532.7050163980351,15321.103830538596,15380.420534114517
1742,0.11657,7,372.8935114786246,15339.733057667052,15383.201254300115
1747,0.12573,7,261.0254580350372,15353.798228026515,15386.616958865261
1748,0.12513,7,182.71782062452604,15363.596862695693,15386.46034359044
1756,0.13341,3,34730.9455307565,10754.517803886985,15387.97324714521
1757,0.13766,7,24311.661871529548,12188.836392416168,15535.579765650926
